game_id,minute,side,type
3919,30,home,red_card
3920,28,away,red_card
3922,69,away,red_card
3924,28,away,red_card
3926,90,home,red_card
3926,27,away,red_card
3927,78,away,red_card
3929,27,away,red_card
3936,69,away,red_card
3938,76,away,red_card
3967,61,home,red_card
3970,53,home,red_card
3970,61,home,red_card
3970,90,away,red_card
3981,34,away,red_card
3983,90,home,red_card
3983,90,home,red_card
3983,51,away,red_card
3985,39,away,red_card
3987,56,away,red_card
3988,90,home,red_card
3990,90,home,red_card
3996,90,home,red_card
3998,7,home,red_card
3998,45,away,red_card
4000,83,away,red_card
4013,43,home,red_card
4017,21,home,red_card
4025,8,home,red_card
4026,42,home,red_card
4026,38,away,red_card
4027,17,away,red_card
4029,58,away,red_card
4034,87,home,red_card
4062,80,home,red_card
4063,67,away,red_card
4080,30,home,red_card
4086,31,home,red_card
4094,81,home,red_card
4095,22,home,red_card
4097,77,away,red_card
4099,49,home,red_card
4099,62,away,red_card
4103,83,away,red_card
4110,90,home,red_card
4111,90,home,red_card
4111,90,away,red_card
4113,78,away,red_card
4122,55,home,red_card
4123,84,home,red_card
4134,58,home,red_card
4134,81,away,red_card
4136,13,home,red_card
4147,76,away,red_card
4148,90,home,red_card
4151,51,away,red_card
4154,68,away,red_card
4162,58,away,red_card
4176,90,away,red_card
4181,90,away,red_card
4184,54,away,red_card
4188,73,home,red_card
4193,62,home,red_card
4200,87,away,red_card
4203,76,home,red_card
4212,82,home,red_card
4218,79,away,red_card
4222,90,away,red_card
4223,53,away,red_card
4230,90,away,red_card
4236,34,away,red_card
4244,45,away,red_card
4249,90,home,red_card
4250,70,away,red_card
4253,65,home,red_card
4255,90,home,red_card
4256,83,away,red_card
4257,86,away,red_card
4257,90,away,red_card
4260,73,home,red_card
4264,61,away,red_card
4265,65,away,red_card
4270,62,away,red_card
4273,85,home,red_card
4273,45,away,red_card
4279,30,home,red_card
4279,34,away,red_card
4287,89,away,red_card
4291,12,home,red_card
4297,85,home,red_card
4314,89,home,red_card
4314,90,away,red_card
4315,90,away,red_card
4319,58,away,red_card
4319,65,away,red_card
4321,35,away,red_card
4323,80,home,red_card
4328,87,away,red_card
4329,4,home,red_card
4338,90,away,red_card
4340,11,home,red_card
4340,29,home,red_card
4342,25,home,red_card
4342,90,home,red_card
4347,73,home,red_card
4347,78,home,red_card
4350,48,home,red_card
4352,21,home,red_card
4352,90,away,red_card
4358,75,home,red_card
4362,63,away,red_card
4363,67,away,red_card
4367,50,away,red_card
4367,76,away,red_card
4367,90,away,red_card
4368,81,away,red_card
4370,88,away,red_card
4371,90,home,red_card
4378,78,away,red_card
4380,43,home,red_card
4385,38,away,red_card
4385,81,away,red_card
4398,90,home,red_card
4400,90,home,red_card
4405,90,away,red_card
4422,90,home,red_card
4422,90,home,red_card
4422,90,away,red_card
4423,82,away,red_card
4429,59,away,red_card
4430,66,away,red_card
4431,64,away,red_card
4438,90,away,red_card
4444,79,home,red_card
4447,41,home,red_card
4449,73,away,red_card
4463,71,home,red_card
4465,90,home,red_card
4468,85,away,red_card
4475,85,away,red_card
4478,53,away,red_card
4485,78,away,red_card
4493,82,home,red_card
4493,77,away,red_card
4504,77,away,red_card
4507,54,away,red_card
4510,89,home,red_card
4516,85,away,red_card
4517,73,away,red_card
4520,90,away,red_card
4527,69,home,red_card
4527,69,away,red_card
4533,61,home,red_card
4535,90,home,red_card
4536,90,home,red_card
4537,70,away,red_card
4541,80,away,red_card
4546,82,home,red_card
4554,31,home,red_card
4565,82,away,red_card
4573,90,home,red_card
4579,46,away,red_card
4585,51,away,red_card
4585,58,away,red_card
4589,43,away,red_card
4592,75,away,red_card
4595,65,home,red_card
4596,72,home,red_card
4599,41,home,red_card
4600,76,away,red_card
4608,55,home,red_card
4610,90,away,red_card
4617,29,away,red_card
4624,20,home,red_card
4627,51,away,red_card
4628,58,home,red_card
4648,33,away,red_card
4653,90,away,red_card
4656,77,away,red_card
4660,90,home,red_card
4660,90,away,red_card
4661,2,away,red_card
4662,90,away,red_card
4670,56,away,red_card
4671,14,away,red_card
4683,81,away,red_card
4700,90,home,red_card
4701,45,home,red_card
4701,57,home,red_card
4701,79,away,red_card
4701,90,away,red_card
4703,70,home,red_card
4705,65,home,red_card
4705,65,away,red_card
4708,28,home,red_card
4709,29,away,red_card
4717,87,home,red_card
4717,88,home,red_card
4720,53,home,red_card
4725,85,home,red_card
4727,55,away,red_card
4732,70,home,red_card
4732,60,away,red_card
4741,90,home,red_card
4761,80,home,red_card
4764,74,home,red_card
4764,76,home,red_card
4765,90,away,red_card
4769,61,away,red_card
4770,51,home,red_card
4770,83,away,red_card
4777,35,away,red_card
4796,62,away,red_card
4800,90,away,red_card
4803,74,away,red_card
4809,45,away,red_card
4810,75,home,red_card
4810,73,away,red_card
4813,47,home,red_card
4813,69,away,red_card
4821,49,away,red_card
4822,66,away,red_card
4823,80,away,red_card
4839,17,away,red_card
4844,86,away,red_card
4847,53,home,red_card
4849,17,away,red_card
4862,86,home,red_card
